PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2022,51.75,102.75,1.42,2.54,4.09,5.01,5.93,5.65,4.88,4.68,3.43,2.53,1.45,1.09,3.56
ALLSKY_SFC_SW_DWN,2022,51.75,103.25,1.42,2.54,4.09,5.01,5.93,5.65,4.88,4.68,3.43,2.53,1.45,1.09,3.56
ALLSKY_SFC_SW_DWN,2022,51.75,103.75,1.42,2.54,4.09,5.01,5.93,5.65,4.88,4.68,3.43,2.53,1.45,1.09,3.56
ALLSKY_SFC_SW_DWN,2022,51.75,104.25,1.3,2.49,4.18,4.8,5.98,5.76,5.24,4.64,3.46,2.39,1.37,0.88,3.55
ALLSKY_SFC_SW_DWN,2022,51.75,104.75,1.3,2.49,4.18,4.8,5.98,5.76,5.24,4.64,3.46,2.39,1.37,0.88,3.55
ALLSKY_SFC_SW_DWN,2022,51.75,105.25,1.3,2.49,4.18,4.8,5.98,5.76,5.24,4.64,3.46,2.39,1.37,0.88,3.55
ALLSKY_SFC_SW_DWN,2022,51.75,105.75,1.3,2.49,4.18,4.8,5.98,5.76,5.24,4.64,3.46,2.39,1.37,0.88,3.55
ALLSKY_SFC_SW_DWN,2022,51.75,106.25,1.31,2.42,4.03,4.76,6.3,6.13,5.62,4.84,3.65,2.38,1.38,0.82,3.64
ALLSKY_SFC_SW_DWN,2022,51.75,106.75,1.31,2.42,4.03,4.76,6.3,6.13,5.62,4.84,3.65,2.38,1.38,0.82,3.64
ALLSKY_SFC_SW_DWN,2022,51.75,107.25,1.31,2.42,4.03,4.76,6.3,6.13,5.62,4.84,3.65,2.38,1.38,0.82,3.64
ALLSKY_SFC_SW_DWN,2022,51.75,107.75,1.31,2.42,4.03,4.76,6.3,6.13,5.62,4.84,3.65,2.38,1.38,0.82,3.64
ALLSKY_SFC_SW_DWN,2022,51.75,108.25,1.43,2.51,3.99,4.66,6.22,6.04,5.51,5.13,3.64,2.4,1.38,0.93,3.66
